Date,temperature,anomoly
5/9/2023 6:00,15.543,0.2149
5/9/2023 12:00,15.95,0.2393
5/9/2023 18:00,15.742,0.2616
5/10/2023 0:00,15.273,0.268
5/10/2023 6:00,15.659,0.3013
5/10/2023 12:00,15.959,0.221
5/10/2023 18:00,15.776,0.269
5/11/2023 0:00,15.354,0.3239
5/11/2023 6:00,15.729,0.3458
5/11/2023 12:00,16.082,0.3156
5/11/2023 18:00,15.832,0.3014
5/12/2023 0:00,15.48,0.4253
5/12/2023 6:00,15.924,0.5173
5/12/2023 12:00,16.244,0.4497
5/12/2023 18:00,15.937,0.3812
5/13/2023 0:00,15.454,0.3722
5/13/2023 6:00,15.828,0.3941
5/13/2023 12:00,16.213,0.3916
5/13/2023 18:00,15.939,0.3582
5/14/2023 0:00,15.499,0.3957
5/14/2023 6:00,15.905,0.4477
5/14/2023 12:00,16.246,0.4014
5/14/2023 18:00,16.013,0.4113
5/15/2023 0:00,15.599,0.4718
5/15/2023 6:00,15.949,0.4688
5/15/2023 12:00,16.288,0.4218
5/15/2023 18:00,16.127,0.5032
5/16/2023 0:00,15.628,0.4772
5/16/2023 6:00,16.022,0.5185
5/16/2023 12:00,16.396,0.5051
5/16/2023 18:00,16.132,0.4827
5/17/2023 0:00,15.568,0.3934
5/17/2023 6:00,15.903,0.3759
5/17/2023 12:00,16.237,0.323
5/17/2023 18:00,16.019,0.3476
5/18/2023 0:00,15.638,0.4411
5/18/2023 6:00,15.972,0.4231
5/18/2023 12:00,16.22,0.2843
5/18/2023 18:00,16.078,0.3826
5/19/2023 0:00,15.591,0.3725
5/19/2023 6:00,15.978,0.4072
5/19/2023 12:00,16.248,0.2889
5/19/2023 18:00,15.992,0.2733
5/20/2023 0:00,15.632,0.3908
5/20/2023 6:00,15.92,0.3244
5/20/2023 12:00,16.359,0.3767
5/20/2023 18:00,16.081,0.3372
5/21/2023 0:00,15.711,0.4453
5/21/2023 6:00,16.08,0.4602
5/21/2023 12:00,16.395,0.3898
5/21/2023 18:00,16.101,0.3308
5/22/2023 0:00,15.698,0.4045
5/22/2023 6:00,16.14,0.4946
5/22/2023 12:00,16.391,0.3597
5/22/2023 18:00,16.069,0.2724
5/23/2023 0:00,15.727,0.4049
5/23/2023 6:00,16.154,0.4828
5/23/2023 12:00,16.471,0.4113
5/23/2023 18:00,16.152,0.3253
5/24/2023 0:00,15.799,0.451
5/24/2023 6:00,16.218,0.5214
5/24/2023 12:00,16.546,0.458
5/24/2023 18:00,16.213,0.357
5/25/2023 0:00,15.83,0.454
5/25/2023 6:00,16.253,0.5291
5/25/2023 12:00,16.552,0.4372
5/25/2023 18:00,16.325,0.441
5/26/2023 0:00,15.919,0.5128
5/26/2023 6:00,16.266,0.5103
5/26/2023 12:00,16.589,0.4457
5/26/2023 18:00,16.3,0.3857
5/27/2023 0:00,15.853,0.4171
